조사번호	조사지역	주구분	조사일자	시간대	X좌표	Y좌표	행정구역명	날씨	남자10대	남자20대	남자30대	남자40대	남자50대	여자10대	여자20대	여자30대	여자40대	여자50대
2795	패밀리마트 앞 사거리(캉가루프라자)	주중	2010-07-07	12시~13시까지	284265	557546	인천광역시 서구 불로동	맑음	0	3	12	3	9	0	3	60	3	18
2795	패밀리마트 앞 사거리(캉가루프라자)	주중	2010-07-07	19시~20시까지	284265	557546	인천광역시 서구 불로동	맑음	78	18	27	6	48	60	15	72	18	57
2795	패밀리마트 앞 사거리(캉가루프라자)	주말	2010-07-03	12시~13시까지	284265	557546	인천광역시 서구 불로동	흐림	75	12	3	6	12	69	6	66	3	12
2795	패밀리마트 앞 사거리(캉가루프라자)	주말	2010-07-03	19시~20시까지	284265	557546	인천광역시 서구 불로동	흐림	138	33	21	15	36	111	12	63	21	18
2824	본죽 (백운역점) - A지점	주중	2010-06-09	12시~13시까지	286245	543912	인천광역시 부평구 산곡3동	맑음	7	15	10	19	15	5	23	45	51	37
2824	본죽 (백운역점) - A지점	주중	2010-06-09	19시~20시까지	286245	543912	인천광역시 부평구 산곡3동	맑음	65	85	49	54	41	57	147	155	167	52
2824	본죽 (백운역점) - A지점	주말	2010-06-19	12시~13시까지	286245	543912	인천광역시 부평구 산곡3동	흐림	67	40	50	45	48	30	64	75	42	69
2824	본죽 (백운역점) - A지점	주말	2010-06-19	19시~20시까지	286245	543912	인천광역시 부평구 산곡3동	흐림	37	145	46	109	37	22	202	154	163	49
2889	A지점 - 부평중앙 새마을금고 (앞)	주중	2010-06-23	12시~13시까지	287451	544779	인천광역시 부평구 부평1동	맑음	13	62	65	68	59	15	54	97	92	57
2889	A지점 - 부평중앙 새마을금고 (앞)	주중	2010-06-23	19시~20시까지	287451	544779	인천광역시 부평구 부평1동	맑음	41	61	40	83	52	25	75	47	110	35
2889	A지점 - 부평중앙 새마을금고 (앞)	주말	2010-07-24	12시~13시까지	287451	544779	인천광역시 부평구 부평1동	흐림	8	39	54	49	44	11	35	70	75	40
2889	A지점 - 부평중앙 새마을금고 (앞)	주말	2010-07-24	19시~20시까지	287451	544779	인천광역시 부평구 부평1동	흐림	15	39	46	79	68	12	34	65	45	58
2890	B지점 - 용갈비 [부평본점] (앞)	주중	2010-06-23	12시~13시까지	287450	544624	인천광역시 부평구 부평1동	맑음	5	43	31	59	71	1	22	49	78	54
2890	B지점 - 용갈비 [부평본점] (앞)	주중	2010-06-23	19시~20시까지	287450	544624	인천광역시 부평구 부평1동	맑음	8	39	69	98	87	18	42	90	145	96
2890	B지점 - 용갈비 [부평본점] (앞)	주말	2010-07-24	12시~13시까지	287450	544624	인천광역시 부평구 부평1동	흐림	4	23	49	63	65	2	20	68	75	56
2890	B지점 - 용갈비 [부평본점] (앞)	주말	2010-07-24	19시~20시까지	287450	544624	인천광역시 부평구 부평1동	흐림	24	68	98	120	101	12	71	105	96	120
